"Scripture","RCL ","Roman","Episcopal","Lutheran","United Methodist","Row Order"
,"Proper 14/ Ordinary 19B","Proper 15/ Ordinary 20B","Proper 15/ Ordinary 20B","Proper 14/ Ordinary 19B","Proper 25B/ Ordinary 30B",302
,"Proper 15/ Ordinary 20B","Proper 16/ Ordinary 21B","Proper 16/ Ordinary 21B","Proper 15/ Ordinary 20B",,303
,"Proper 16/ Ordinary 21B","Lent 4C","Lent 4C","Proper 16/ Ordinary 21B",,304
,"Proper 25B/ Ordinary 30B","Proper 25C/ Ordinary 30C",,,,305
"Psalm 36","Holy Week Monday A",,"Holy Week Monday A","Holy Week Monday A","Holy Week Monday A",306
,"Holy Week Monday B",,"Holy Week Monday B","Holy Week Monday B","Holy Week Monday B",307
,"Epiphany 2C",,"Holy Week Monday C","Epiphany 2C","Epiphany 2C",308
,"Holy Week Monday C",,,"Holy Week Monday C","Holy Week Monday C",309
"Psalm 37","Proper 22C/ Ordinary 27C",,"Epiphany 4A","Proper 22C/ Ordinary 27C",,310
,,,"Proper 22C/ Ordinary 27C",,,311
"Psalm 40","Epiphany 2A","Epiphany 2A","Epiphany 2A","Epiphany 2A","Epiphany 2A",312
,,"Epiphany 2B","Good Friday A",,,313
,,"Proper 15C/ Ordinary 20C","Good Friday B",,,314
,,,"Good Friday C",,,315
"Psalm 41","Epiphany 7B","Epiphany 7B",,"Epiphany 7B","Epiphany 7B",316
"Psalm 42","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",317
,"Easter Vigil B","Easter Vigil B","Epiphany 6B","Easter Vigil B","Easter Vigil B",318
,"Easter Vigil C","Easter Vigil C","Easter Vigil B","Easter Vigil C","Proper 27B/ Ordinary 32B",319
,"Proper 7C/ Ordinary 12C",,"Easter Vigil C",,"Easter Vigil C",320
,,,,,"Proper 7C/ Ordinary 12C",321
"Psalm 43","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",322
,"Proper 26/ Ordinary 31A","Easter Vigil B","Proper 26/ Ordinary 31A","Proper 26/ Ordinary 31A","Easter Vigil B",323
,"Easter Vigil B","Easter Vigil C","Easter Vigil B","Easter Vigil B","Easter Vigil C",324
,"Easter Vigil C",,"Easter Vigil C","Easter Vigil C",,325
,"Proper 7C/ Ordinary 12C",,,,,326
"Psalm 44",,,,,,327
"Psalm 45","Proper 9A/ Ordinary 14A","Proper 15A/ Ordinary 20A",,,"Proper 9A/ Ordinary 14A",328
,"Proper 17/ Ordinary 22B",,,,"Proper 17/ Ordinary 22B",329
"Psalm 46","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",330
,"Proper 4A","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",331
,"Easter Vigil B","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",332
,"Easter Vigil C",,"Proper 16C/ Ordinary 21C","Christ the King C",,333
,"Christ the King C",,"Christ the King C",,,334
"Psalm 47","Ascension A","Palms A","Ascension A","Ascension A","Ascension A",335
,"Ascension B","Ascension A","Easter 7A","Ascension B","Ascension B",336
,"Ascension C","Palms B","Ascension B","Ascension C","Ascension C",337
,,"Ascension B","Easter 7B",,,338
,,"Palms C","Ascension C",,,339
,,"Ascension C","Easter 7C",,,340
"Psalm 48","Proper 9/ Ordinary 14B",,,,"Proper 9/ Ordinary 14B",341
"Psalm 49","Proper 13C/ Ordinary 18C",,"Proper 13C/ Ordinary 18C","Proper 13C/ Ordinary 18C",,342
"Psalm 50","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A","Proper 5A/ Ordinary 10A","Transfiguration B",343
,"Transfiguration B",,"Advent 1C","Transfiguration B","Proper 14C/ Ordinary 19C",344
,"Proper 14C/ Ordinary 19C",,,,,345
"Psalm 51","Ash Wednesday A","Ash Wednesday A","Lent 1A","Ash Wednesday A","Ash Wednesday A",346
,"Ash Wednesday B","Lent 1A","Lent 5B","Ash Wednesday B","Ash Wednesday B",347
,"Lent 5B","Easter Vigil A","Proper 19C/ Ordinary 24C","Lent 5B","Lent 5B",348
,"Proper 13/ Ordinary 18B","Ash Wednesday B",,"Ash Wednesday C","Proper 13/ Ordinary 18B",349
,"Ash Wednesday C","Lent 5B",,"Proper 19C/ Ordinary 24C","Ash Wednesday C",350
,"Proper 19C/ Ordinary 24C","Easter Vigil B",,,,351
,,"Ash Wednesday C",,,,352
,,"Easter Vigil C",,,,353
,,"Proper 19C/ Ordinary 24C",,,,354
"Psalm 52","Proper 11C/ Ordinary 16C",,,,"Proper 11C/ Ordinary 16C",355
"Psalm 54","Proper 20/ Ordinary 25B","Proper 20/ Ordinary 25B","Proper 20/ Ordinary 25B","Proper 20/ Ordinary 25B",,356
"Psalm 57",,,,,,357
"Psalm 62","Epiphany 3B",,,"Epiphany 3B","Epiphany 3B",358
"Psalm 63","Lent 3C","Proper 17A/ Ordinary 22A","Epiphany 2B","Lent 3C","Lent 3C",359
,,"Proper 27/ Ordinary 32A","Proper 7C/ Ordinary 12C",,,360
"Psalm 65","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A","Proper 10A/ Ordinary 15A",361
,"Thanksgiving A",,"Thanksgiving A","Thanksgiving A","Thanksgiving A",362
,"Proper 25C/ Ordinary 30C",,"Thanksgiving B","Proper 25C/ Ordinary 30C","Proper 25C/ Ordinary 30C",363
,,,"Thanksgiving C",,,364
"Psalm 66","Easter 6A","Easter 6A","Easter 5A","Easter 6A","Easter 6A",365
,"Proper 9C/ Ordinary 14C","Proper 9C/ Ordinary 14C","Easter 5B","Proper 9C/ Ordinary 14C","Proper 23C/ Ordinary 28C",366
,"Proper 23C/ Ordinary 28C",,"Proper 9C/ Ordinary 14C",,,367
"Psalm 67","Proper 15A/ Ordinary 20A","Holy Name A","Proper 15A/ Ordinary 20A","Proper 15A/ Ordinary 20A","Easter 6C",368
,"Easter 6C","Holy Name B","Easter 6C","Easter 6C",,369
,,"Holy Name C",,,,370
,,"Easter 6C",,,,371
"Psalm 68","Easter 7A","Proper 17C/ Ordinary 22C","Easter 7A","Easter 7A","Easter 7A",372
,,,"Easter 7B",,,373
,,,"Easter 7C",,,374
"Psalm 69","Proper 7A/ Ordinary 12A","Holy Week Wednesday A","Holy Week Wednesda","Proper 7A/ Ordinary 12A",,375
,,"Proper 7A/ Ordinary 12A","Good Friday A",,,376
,,"Holy Week Wednesday B","Proper 7A/ Ordinary 12A",,,377
,,"Holy Week Wednesday C","Holy Week Wednesday B",,,378
,,"Proper 10C/ Ordinary 15C","Good Friday B",,,379
,,,"Holy Week Wednesday C",,,380
,,,"Good Friday C",,,381
"Psalm 70","Holy Week Wednesday A",,"Proper 27/ Ordinary 32A","Holy Week Wednesday A","Holy Week Wednesday A",382
,"Proper 27/ Ordinary 32A",,,"Proper 27/ Ordinary 32A","Holy Week Wednesday B",383
,"Holy Week Wednesday B",,,"Holy Week Wednesday B","Holy Week Wednesday C",384
,"Holy Week Wednesday C",,,"Holy Week Wednesday C",,385
"Psalm 71","Holy Week Tuesday A","Holy Week Tuesday A","Holy Week Tuesday A","Holy Week Tuesday A","Holy Week Tuesday A",386
,"Holy Week Tuesday B","Holy Week Tuesday B","Holy Week Tuesday B","Holy Week Tuesday B","Holy Week Tuesday B",387
,"Epiphany 4C","Epiphany 4C","Epiphany 4C","Epiphany 4C","Epiphany 4C",388
,"Holy Week Tuesday C","Holy Week Tuesday C","Holy Week Tuesday C","Holy Week Tuesday C","Holy Week Tuesday C",389
,"Proper 16C/ Ordinary 21C",,,,"Proper 16C/ Ordinary 21C",390
"Psalm 72","Advent 2A","Advent 2A","Advent 2A","Advent 2A","Advent 2A",391
,"Epiphany A","Epiphany A","Epiphany A","Epiphany A","Epiphany A",392
,"Epiphany B","Epiphany B","Epiphany B","Epiphany B","Epiphany B",393
,"Epiphany C","Epiphany C","Epiphany C","Epiphany C","Proper 17/ Ordinary 22B",394
,,,,,"Epiphany C",395
"Psalm 76",,,,,"Proper 28/ Ordinary 33A",396
"Psalm 77","Proper 8C/ Ordinary 13C",,,,"Proper 8C/ Ordinary 13C",397
"Psalm 78","Proper 21/ Ordinary 26A","Proper 13/ Ordinary 18B","Holy/Maundy Thursda","Proper 13/ Ordinary 18B","Proper 20/ Ordinary 25A",398
,"Proper 27/ Ordinary 32A",,"Proper 13A/ Ordinary 18A",,"Proper 21/ Ordinary 26A",399
,"Proper 13/ Ordinary 18B",,"Holy/Maundy Thursday B",,"Proper 27/ Ordinary 32A",400
,,,"Proper 13/ Ordinary 18B",,,401
,,,"Holy/Maundy Thursday C",,,402
"Psalm 79","Proper 20C/ Ordinary 25C",,,,"Proper 20C/ Ordinary 25C",403
"Psalm 80","Advent 4A","Proper 22/ Ordinary 27A","Proper 22/ Ordinary 27A","Advent 4A","Advent 4A",404
,"Proper 22/ Ordinary 27A","Advent 1B","Advent 1B","Proper 22/ Ordinary 27A","Advent 1B",405
,"Advent 1B","Advent 4C","Advent 4C","Advent 1B","Proper 15C/ Ordinary 20C",406
,"Advent 4C",,,"Advent 4C",,407
,"Proper 15C/ Ordinary 20C",,,,,408
"Psalm 81","Epiphany 9B","Epiphany 9B","Epiphany 9B","Epiphany 9B","Epiphany 9B",409
,"Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B","Proper 17C/ Ordinary 22C",410
,"Proper 17C/ Ordinary 22C",,,,,411
"Psalm 82","Proper 10C/ Ordinary 15C",,"Proper 15C/ Ordinary 20C","Proper 15C/ Ordinary 20C","Proper 10C/ Ordinary 15C",412
,"Proper 15C/ Ordinary 20C",,,,"Proper 11C/ Ordinary 16C",413
"Psalm 84","Proper 16/ Ordinary 21B",,"Christmas 2A","Proper 25C/ Ordinary 30C","Proper 16/ Ordinary 21B",414
,"Proper 25C/ Ordinary 30C",,"Christmas 2B",,,415
,,,"Christmas 2C",,,416
,,,"Proper 25C/ Ordinary 30C",,,417
"Psalm 85","Proper 14A/ Ordinary 19A","Proper 14A/ Ordinary 19A","Advent 2B","Proper 14A/ Ordinary 19A","Advent 2B",418
,"Advent 2B","Advent 2B","Proper 10/ Ordinary 15B","Advent 2B","Proper 12C/ Ordinary 17C",419
,"Proper 10/ Ordinary 15B","Proper 10/ Ordinary 15B","Advent 3C","Proper 10/ Ordinary 15B",,420
,"Proper 12C/ Ordinary 17C",,"Epiphany 5C",,,421
"Psalm 86","Proper 7A/ Ordinary 12A","Proper 11A/ Ordinary 16A","Proper 11A/ Ordinary 16A","Proper 11A/ Ordinary 16A","Proper 7A/ Ordinary 12A",422
,"Proper 11A/ Ordinary 16A",,,,,423
"Psalm 89","Proper 8A/ Ordinary 13A","Proper 8A/ Ordinary 13A","Baptism A","Proper 8A/ Ordinary 13A","Proper 11/ Ordinary 16B",424
,"Advent 4B","Advent 4B","Proper 8A/ Ordinary 13A","Advent 4B",,425
,"Proper 11/ Ordinary 16B",,"Baptism B",,,426
,,,"Baptism C",,,427
"Psalm 90","Proper 25/ Ordinary 30A","Proper 23B/ Ordinary 28B","Proper 28/ Ordinary 33A","Proper 25/ Ordinary 30A","Proper 25/ Ordinary 30A",428
,"Proper 28/ Ordinary 33A","Proper 18C/ Ordinary 23C","Proper 23B/ Ordinary 28B","Proper 28/ Ordinary 33A",,429
,"Proper 23B/ Ordinary 28B",,,"Proper 23B/ Ordinary 28B",,430
"Psalm 91","Proper 24B/ Ordinary 29B","Lent 1C","Proper 24B/ Ordinary 29B","Proper 24B/ Ordinary 29B","Lent 1C",431
,"Lent 1C",,"Lent 1C","Lent 1C","Proper 21C/ Ordinary 26C",432
,"Proper 21C/ Ordinary 26C",,,,,433
"Psalm 92","Proper 6/ Ordinary 11B","Proper 6/ Ordinary 11B","Proper 6/ Ordinary 11B","Proper 6/ Ordinary 11B","Epiphany 8C",434
,"Epiphany 8C","Epiphany 8C","Epiphany 8C","Epiphany 8C",,435
"Psalm 93","Ascension A","Christ the King B","Trinity B","Ascension A","Ascension A",436
,"Ascension B",,"Christ the King B","Ascension B","Ascension B",437
,"Christ the King B",,,"Christ the King B","Ascension C",438
,"Ascension C",,,"Ascension C",,439
"Psalm 95","Lent 3A","Lent 3A","Lent 3A","Lent 3A","Lent 3A",440
,"Christ the King A","Proper 18/ Ordinary 23A","Christ the King A","Christ the King A",,441
,,"Epiphany 4B",,,,442
,,"Proper 13C/ Ordinary 18C",,,,443
,,"Proper 22C/ Ordinary 27C",,,,444
"Psalm 96","Christmas Eve/Day A","Christmas Midnight A","Christmas Day 1A","Christmas Eve A","Christmas Eve A",445
,"Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A","Proper 24/ Ordinary 29A","Christmas Eve B",446
,"Christmas Eve/Day B","Christmas Midnight B","Christmas Day 1B","Christmas Eve B","Christmas Eve C",447
,"Christmas Eve/Day C","Christmas Midnight C","Christmas Day 1C","Christmas Eve C","Epiphany 9C",448
,"Epiphany 9C","Epiphany 2C","Epiphany 2C","Epiphany 9C","Proper 4C/ Ordinary 9C",449
,"Proper 4C/ Ordinary 9C","Epiphany 9C","Epiphany 9C","Proper 4C/ Ordinary 9C",,450
,,"Proper 4C/ Ordinary 9C","Proper 4C/ Ordinary 9C",,,451
"Psalm 97","Christmas Eve/Day A","Christmas Dawn A","Christmas Day 2A","Christmas Dawn A","Easter 7C",452
,"Christmas Eve/Day B","Christmas Dawn B","Transfiguration A","Christmas Dawn B",,453
,"Christmas Eve/Day C","Transfiguration B","Christmas Day 2B","Christmas Dawn C",,454
,"Easter 7C","Christmas Dawn C","Christmas Day 2C","Easter 7C",,455
,,"Easter 7C",,,,456
"Psalm 98","Christmas Eve/Day A","Christmas Day A","Christmas Day 3A","Christmas Day A","Christmas Day A",457
,"Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",458
,"Christmas Eve/Day B","Christmas Day B","Christmas Day 3B","Christmas Day B","Christmas Day B",459
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",460
,"Easter 6B","Easter 6B","Easter Vigil C","Easter 6B","Easter 6B",461
,"Christmas Eve/Day C","Easter Vigil C","Easter 3B","Easter Vigil C","Easter Vigil C",462
,"Easter Vigil C","Christmas Day C","Christmas Day 3C","Christmas Day C","Christmas Day C",463
,"Proper 27C/ Ordinary 32C","Proper 23C/ Ordinary 28C","Proper 28C/ Ordinary 33C","Proper 28C/ Ordinary 33C",,464
,"Proper 28C/ Ordinary 33C","Proper 28C/ Ordinary 33C",,,,465
"Psalm 99","Transfiguration A","Transfiguration C","Transfiguration B","Transfiguration A","Transfiguration A",466
,"Proper 24/ Ordinary 29A",,"Transfiguration C","Transfiguration C","Proper 24/ Ordinary 29A",467
,"Transfiguration C",,,,"Transfiguration C",468
"Psalm 100","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A","Christ the King A",469
,"Christ the King A","Easter 4C","Easter 4B","Thanksgiving C","Thanksgiving C",470
,"Thanksgiving C",,"Easter 4C",,,471
"Psalm 103","Proper 19/ Ordinary 24A","Proper 19/ Ordinary 24A","Ash Wednesday A","Proper 19/ Ordinary 24A","Epiphany 8B",472
,"Epiphany 8B","Epiphany 8B","Proper 19/ Ordinary 24A","Epiphany 8B",,473
,"Proper 16C/ Ordinary 21C","Lent 3C","Epiphany 8B","Proper 16C/ Ordinary 21C",,474
,,,"Ash Wednesday B",,,475
,,,"Easter 7B",,,476
,,,"Ash Wednesday C",,,477
,,,"Lent 3C",,,478
"Psalm 104","Pentecost A","Easter Vigil A","Pentecost A","Pentecost A","Pentecost A",479
,"Pentecost B","Pentecost A","Pentecost B","Pentecost B","Pentecost B",480
,"Proper 24B/ Ordinary 29B","Easter Vigil B","Pentecost C","Pentecost C","Proper 24B/ Ordinary 29B",481
,"Pentecost C","Pentecost B",,,"Pentecost C",482
,,"Easter Vigil C",,,,483
,,"Pentecost C",,,,484
"Psalm 105","Proper 12A/ Ordinary 17/A",,,,"Proper 12A/ Ordinary 17/A",485
,"Proper 14A/ Ordinary 19A",,,,"Proper 14A/ Ordinary 19A",486
,"Proper 17A/ Ordinary 22A",,,,"Proper 17A/ Ordinary 22A",487
,"Proper 20/ Ordinary 25A",,,,"Proper 20/ Ordinary 25A",488
"Psalm 106","Proper 23/ Ordinary 28A",,,,"Proper 23/ Ordinary 28A",489
"Psalm 107","Proper 26/ Ordinary 31A","Proper 7/ Ordinary 12B","Proper 7/ Ordinary 12B","Lent 4B","Proper 26/ Ordinary 31A",490
,"Lent 4B",,,"Proper 7/ Ordinary 12B","Lent 4B",491
,"Proper 7/ Ordinary 12B",,,,"Proper 13C/ Ordinary 18C",492
,"Proper 13C/ Ordinary 18C",,,,,493
"Psalm 110",,,"Ascension A",,,494
,,,"Ascension B",,,495
,,,"Ascension C",,,496
"Psalm 111","Epiphany 4B",,"Easter 2A","Epiphany 4B","Epiphany 4B",497
,"Proper 15/ Ordinary 20B",,"Epiphany 4B","Proper 23C/ Ordinary 28C","Proper 15/ Ordinary 20B",498
,"Proper 23C/ Ordinary 28C",,"Easter 2B",,,499
,,,"Easter 2C",,,500
"Psalm 112","Epiphany 5A","Epiphany 5A","Proper 8/ Ordinary 13B","Epiphany 5A","Epiphany 5A",501
,"Proper 17C/ Ordinary 22C",,"Proper 17C/ Ordinary 22C","Proper 17C/ Ordinary 22C",,502
"Psalm 113","Proper 20C/ Ordinary 25C","Thanksgiving A","Epiphany 3C","Proper 20C/ Ordinary 25C","Proper 28B/ Ordinary 33B",503
,,"Thanksgiving B","Proper 23C/ Ordinary 28C",,,504
,,"Proper 20C/ Ordinary 25C",,,,505
,,"Thanksgiving C",,,,506
"Psalm 114","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",507
,"Easter Evening A","Easter Evening A","Easter Evening A","Easter Evening A","Easter Evening A",508
,"Proper 19/ Ordinary 24A","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",509
,"Easter Vigil B","Easter Evening B","Easter Evening B","Easter Evening B","Easter Evening B",510
,"Easter Evening B","Easter Vigil C","Proper 12/ Ordinary 17B","Easter Vigil C","Easter Vigil C",511
,"Easter Vigil C","Easter Evening C","Easter Vigil C","Easter Evening C","Easter Evening C",512
,"Easter Evening C",,"Easter Evening C",,,513
"Psalm 116","Holy/Maundy Thursday A","Holy/Maundy Thursday A","Easter 3A","Holy/Maundy Thursday A","Holy/Maundy Thursday A",514
,"Easter 3A","Lent 2B","Proper 19/ Ordinary 24B","Easter 3A","Easter 3A",515
,"Proper 6A / Ordinary 11A","Holy/Maundy Thursday B",,"Holy/Maundy Thursday B","Proper 6A / Ordinary 11A",516
,"Holy/Maundy Thursday B","Proper 19/ Ordinary 24B",,"Proper 19/ Ordinary 24B","Holy/Maundy Thursday B",517
,"Proper 19/ Ordinary 24B","Holy/Maundy Thursday C",,"Holy/Maundy Thursday C","Holy/Maundy Thursday C",518
,"Holy/Maundy Thursday C",,,,,519
"Psalm 117",,"Proper 16C/ Ordinary 21C",,,,520
"Psalm 118","Palms A","Easter Day A","Palms A","Palms A","Palms A",521
,"Easter Day A","Easter 2A","Easter Day A","Easter Day A","Easter Day A",522
,"Palms B","Easter Day B","Easter Evening A","Palms B","Palms B",523
,"Easter Day B","Easter 2B","Easter 2A","Easter Day B","Easter Day B",524
,"Palms C","Easter 4B","Palms B","Palms C","Palms C",525
,"Easter Day C","Easter Day C","Easter Day B","Easter Day C","Easter Day C",526
,"Easter 2C","Easter 2C","Easter Evening B","Easter 2C","Proper 28C/ Ordinary 33C",527
,,,"Easter 2B",,,528
,,,"Palms C",,,529
,,,"Easter Day C",,,530
,,,"Easter Evening C",,,531
,,,"Easter 2C",,,532
"Psalm 119","Epiphany 6A","Epiphany 6A","Epiphany 6A","Epiphany 6A","Epiphany 6A",533
,"Epiphany 7A","Epiphany 7A","Epiphany 7A","Epiphany 7A","Epiphany 7A",534
,"Proper 10A/ Ordinary 15A","Proper 12A/ Ordinary 17/A","Proper 12A/ Ordinary 17/A","Proper 12A/ Ordinary 17/A","Proper 10A/ Ordinary 15A",535
,"Proper 12A/ Ordinary 17/A",,"Proper 18/ Ordinary 23A","Proper 18/ Ordinary 23A","Lent 5C",536
,"Proper 18/ Ordinary 23A",,"Proper 26B/ Ordinary 31B","Lent 5B","Proper24C/ Ordinary 29C",537
,"Lent 5B",,,"Proper 26B/ Ordinary 31B","Proper 26C/ Ordinary 31C",538
,"Proper 26B/ Ordinary 31B",,,"Lent 5C",,539
,"Lent 5C",,,,,540
,"Proper24C/ Ordinary 29C",,,,,541
,"Proper 26C/ Ordinary 31C",,,,,542
"Psalm 121","Lent 2A","Proper24C/ Ordinary 29C","Proper24C/ Ordinary 29C","Lent 2A","Lent 2A",543
,"Proper24C/ Ordinary 29C",,,"Proper24C/ Ordinary 29C",,544
"Psalm 122","Advent 1A","Advent 1A","Advent 1A","Advent 1A","Advent 1A",545
,,"Christ the King C","Lent 4B",,,546
"Psalm 123","Proper 28/ Ordinary 33A","Proper 9/ Ordinary 14B","Proper 9/ Ordinary 14B","Proper 9/ Ordinary 14B","Proper 28/ Ordinary 33A",547
,"Proper 9/ Ordinary 14B",,,,,548
"Psalm 124","Proper 16A/ Ordinary 21A",,,,"Proper 16A/ Ordinary 21A",549
,"Proper 21/ Ordinary 26B",,,,"Proper 18/ Ordinary 23B",550
,,,,,"Proper 21/ Ordinary 26B",551
"Psalm 125","Proper 18/ Ordinary 23B",,,,"Proper 18/ Ordinary 23B",552
"Psalm 126","Advent 3B","Proper 25B/ Ordinary 30B","Advent 3B","Advent 3B","Advent 3B",553
,"Proper 25B/ Ordinary 30B","Advent 2C","Advent 2C","Proper 25B/ Ordinary 30B","Thanksgiving B",554
,"Thanksgiving B","Lent 5C","Lent 5C","Thanksgiving B","Lent 5C",555
,"Lent 5C",,,"Lent 5C",,556
"Psalm 127","Proper 27B/ Ordinary 32B",,,,"Proper 27B/ Ordinary 32B",557
"Psalm 128",,"Christmas 1A","Proper 22/ Ordinary 27B",,,558
,,"Proper 28/ Ordinary 33A",,,,559
,,"Christmas 1B",,,,560
,,"Proper 22/ Ordinary 27B",,,,561
,,"Christmas 1C",,,,562
"Psalm 130","Lent 5A","Lent 5A","Lent 5A","Lent 5A","Lent 5A",563
,"Proper 5B/ Ordinary 10B","Proper 5B/ Ordinary 10B","Holy Saturday A","Proper 5B/ Ordinary 10B","Proper 8/ Ordinary 13B",564
,"Proper 8/ Ordinary 13B",,"Epiphany 3B",,"Proper 14/ Ordinary 19B",565
,"Proper 14/ Ordinary 19B",,"Holy Saturday B",,,566
,,,"Proper 5B/ Ordinary 10B",,,567
,,,"Holy Saturday C",,,568
"Psalm 131","Epiphany 8A","Epiphany 8A","Epiphany 8A","Epiphany 8A","Epiphany 8A",569
,,"Proper 26/ Ordinary 31A",,,,570
"Psalm 132","Christ the King B",,"Advent 4B",,"Christ the King B",571
"Psalm 133","Proper 15A/ Ordinary 20A",,,"Easter 2B","Proper 15A/ Ordinary 20A",572
,"Easter 2B",,,,"Easter 2B",573
,"Proper 7/ Ordinary 12B",,,,,574
"Psalm 136","Easter Vigil A",,"Easter Vigil A","Easter Vigil A","Easter Vigil A",575
,"Easter Vigil B",,"Easter Evening A","Easter Vigil B","Easter Vigil B",576
,"Easter Vigil C",,"Easter Vigil B","Easter Vigil C","Easter Vigil C",577
,,,"Easter Evening B",,,578
,,,"Easter Vigil C",,,579
,,,"Easter Evening C",,,580
"Psalm 137","Proper 22C/ Ordinary 27C","Lent 4B","Proper 15/ Ordinary 20B",,"Proper 22C/ Ordinary 27C",581
"Psalm 138","Proper 16A/ Ordinary 21A","Proper 16A/ Ordinary 21A","Proper 16A/ Ordinary 21A","Proper 16A/ Ordinary 21A","Proper 5B/ Ordinary 10B",582
,"Proper 5B/ Ordinary 10B","Thanksgiving A","Proper 12C/ Ordinary 17C","Epiphany 5C","Epiphany 5C",583
,"Epiphany 5C","Thanksgiving B","Proper 20C/ Ordinary 25C","Proper 12C/ Ordinary 17C",,584
,"Proper 12C/ Ordinary 17C","Epiphany 5C",,,,585
,,"Proper 12C/ Ordinary 17C",,,,586
,,"Thanksgiving C",,,,587
"Psalm 139","Proper 11A/ Ordinary 16A","Proper 7C/ Ordinary 12C","Epiphany 3A","Epiphany 2B","Proper 11A/ Ordinary 16A",588
,"Epiphany 2B",,,,"Epiphany 2B",589
,"Proper 4/ Ordinary 9B",,,,"Proper 4/ Ordinary 9B",590
,"Proper 18C/ Ordinary 23C",,,,"Proper 18C/ Ordinary 23C",591
"Psalm 143","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",592
,"Easter Vigil B","Easter Vigil B","Epiphany 5B","Easter Vigil B","Easter Vigil B",593
,"Easter Vigil C","Easter Vigil C","Easter Vigil B","Easter Vigil C","Easter Vigil C",594
,,,"Easter Vigil C",,,595
"Psalm 145","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A","Proper 9A/ Ordinary 14A","Proper 13A/ Ordinary 18A",596
,"Proper 13A/ Ordinary 18A","Proper 13A/ Ordinary 18A","Proper 20/ Ordinary 25A","Proper 13A/ Ordinary 18A","Proper 27C/ Ordinary 32C",597
,"Proper 20/ Ordinary 25A","Proper 20/ Ordinary 25A","Easter 5C","Proper 20/ Ordinary 25A",,598
,"Proper 12/ Ordinary 17B","Proper 12/ Ordinary 17B",,"Proper 12/ Ordinary 17B",,599
,"Proper 27C/ Ordinary 32C","Easter 5C",,,,600
,,"Proper 26C/ Ordinary 31C",,,,601
"Psalm 146","Advent 3A","Advent 3A","Advent 3A","Advent 3A","Proper 26B/ Ordinary 31B",602
,"Proper 18/ Ordinary 23B","Epiphany 4A","Proper 18/ Ordinary 23B","Proper 18/ Ordinary 23B","Proper 5C/ Ordinary 10C",603
,"Proper 26B/ Ordinary 31B","Proper 18/ Ordinary 23B","Proper 27B/ Ordinary 32B","Proper 27B/ Ordinary 32B",,604
,"Proper 27B/ Ordinary 32B","Proper 27B/ Ordinary 32B","Proper 21C/ Ordinary 26C","Proper 21C/ Ordinary 26C",,605
,"Proper 5C/ Ordinary 10C","Proper 21C/ Ordinary 26C",,,,606
,"Proper 21C/ Ordinary 26C",,,,,607
"Psalm 147","Christmas 2A","Christmas 2A","Christmas 1A","Christmas 2A","Christmas 2A",608
,"Christmas 2B","Christmas 2B","Christmas 1B","Christmas 2B","Christmas 2B",609
,"Epiphany 5B","Epiphany 5B","Christmas 1C","Epiphany 5B","Epiphany 5B",610
,"Christmas 2C","Christmas 2C",,"Christmas 2C","Christmas 2C",611
"Psalm 148","Christmas 1A",,"Easter 6A","Christmas 1A","Christmas 1A",612
,"Christmas 1B",,,"Christmas 1B","Proper 18/ Ordinary 23A",613
,"Christmas 1C",,,"Christmas 1C","Christmas 1B",614
,"Easter 5C",,,"Easter 5C","Christmas 1C",615
,,,,,"Easter 5C",616
"Psalm 149","Proper 18/ Ordinary 23A",,"All Saints A","All Saints C","Proper 18/ Ordinary 23A",617
,"All Saints C",,"All Saints B",,"All Saints C",618
,,,"All Saints C",,,619
"Psalm 150","Easter 2C",,"Trinity A","Easter 2C","Easter 2C",620
"Proverbs 1:20-33","Proper 19/ Ordinary 24B",,,,"Proper 19/ Ordinary 24B",621
"Proverbs 8:1-31","Trinity C","Trinity C",,"Trinity C","Trinity C",622
